Date : 2023-04-24 12:01:46
Directory : /Users/matiasfonseca/Desktop/EasyEcommerce/frontend
Total : 260 files,  35919 codes, 767 comments, 2131 blanks, all 38817 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| /Users/matiasfonseca/Desktop/EasyEcommerce/frontend/ios/Runner/Assets.xcassets/LaunchImage.imageset/README.md                        | Markdown   |          3 |          0 |          2 |          5 |
| /Users/matiasfonseca/Desktop/EasyEcommerce/frontend/ios/Runner/Base.lproj/LaunchScreen.storyboard                                    | XML        |         36 |          1 |          1 |         38 |
| /Users/matiasfonseca/Desktop/EasyEcommerce/frontend/ios/Runner/Base.lproj/Main.storyboard                                            | XML        |         25 |          1 |          1 |         27 |
| /Users/matiasfonseca/Desktop/EasyEcommerce/frontend/ios/Runner/Info.plist                                                            | XML        |         51 |          0 |          1 |         52 |
| /Users/matiasfonseca/Desktop/EasyEcommerce/frontend/ios/Runner/Runner-Bridging-Header.h                                              | C++        |          1 |          0 |          1 |          2 |
| /Users/matiasfonseca/Desktop/EasyEcommerce/frontend/lib/config/colors.dart                                                           | Dart       |          7 |          0 |          2 |          9 |
| /Users/matiasfonseca/Desktop/EasyEcommerce/frontend/lib/config/exports.dart                                                          | Dart       |          4 |          0 |          2 |          6 |
| /Users/matiasfonseca/Desktop/EasyEcommerce/frontend/lib/config/images.dart                                                           | Dart       |          6 |          0 |          1 |          7 |
| /Users/matiasfonseca/Desktop/EasyEcommerce/frontend/lib/connections/connections.dart                                                 | Dart       |      1,667 |         23 |        202 |      1,892 |
| /Users/matiasfonseca/Desktop/EasyEcommerce/frontend/lib/helpers/navigators.dart                                                      | Dart       |         10 |          0 |          3 |         13 |
| /Users/matiasfonseca/Desktop/EasyEcommerce/frontend/lib/helpers/responsive.dart                                                      | Dart       |          8 |          0 |          2 |         10 |
| /Users/matiasfonseca/Desktop/EasyEcommerce/frontend/lib/helpers/server.dart                                                          | Dart       |          3 |          0 |          1 |          4 |
| /Users/matiasfonseca/Desktop/EasyEcommerce/frontend/lib/main.dart                                                                    | Dart       |         65 |          1 |          4 |         70 |
| /Users/matiasfonseca/Desktop/EasyEcommerce/frontend/lib/middlewares/navigation_middlewares.dart                                      | Dart       |         19 |          0 |          3 |         22 |
| /Users/matiasfonseca/Desktop/EasyEcommerce/frontend/lib/providers/filters_orders/filters_orders.dart                                 | Dart       |         69 |          0 |         12 |         81 |
| /Users/matiasfonseca/Desktop/EasyEcommerce/frontend/lib/providers/logistic/navigation_provider.dart                                  | Dart       |         10 |          0 |          2 |         12 |
| /Users/matiasfonseca/Desktop/EasyEcommerce/frontend/lib/providers/operator/navigation_provider.dart                                  | Dart       |         10 |          0 |          2 |         12 |
| /Users/matiasfonseca/Desktop/EasyEcommerce/frontend/lib/providers/readme.md                                                          | Markdown   |          0 |          0 |          1 |          1 |
| /Users/matiasfonseca/Desktop/EasyEcommerce/frontend/lib/providers/sellers/navigation_provider.dart                                   | Dart       |         10 |          0 |          2 |         12 |
| /Users/matiasfonseca/Desktop/EasyEcommerce/frontend/lib/providers/transport/navigation_provider.dart                                 | Dart       |         10 |          0 |          2 |         12 |
| /Users/matiasfonseca/Desktop/EasyEcommerce/frontend/lib/routes/get_routes.dart                                                       | Dart       |        309 |         43 |         41 |        393 |
| /Users/matiasfonseca/Desktop/EasyEcommerce/frontend/lib/theme/theme.dart                                                             | Dart       |         16 |          0 |          2 |         18 |
| /Users/matiasfonseca/Desktop/EasyEcommerce/frontend/lib/ui/login/controllers/controllers.dart                                        | Dart       |         16 |          0 |          3 |         19 |
| /Users/matiasfonseca/Desktop/EasyEcommerce/frontend/lib/ui/login/login.dart                                                          | Dart       |        178 |          0 |         11 |        189 |
| /Users/matiasfonseca/Desktop/EasyEcommerce/frontend/lib/ui/logistic/account_status/account_status.dart                               | Dart       |        201 |          2 |         13 |        216 |
| /Users/matiasfonseca/Desktop/EasyEcommerce/frontend/lib/ui/logistic/account_status/account_status_details.dart                       | Dart       |        135 |          0 |          6 |        141 |
| /Users/matiasfonseca/Desktop/EasyEcommerce/frontend/lib/ui/logistic/account_status/controllers/controllers.dart                      | Dart       |          4 |          0 |          2 |          6 |
| /Users/matiasfonseca/Desktop/EasyEcommerce/frontend/lib/ui/logistic/add_carrier/add_carrier.dart                                     | Dart       |        255 |         53 |         10 |        318 |
| /Users/matiasfonseca/Desktop/EasyEcommerce/frontend/lib/ui/logistic/add_carrier/carrier_details.dart                                 | Dart       |        157 |         43 |          8 |        208 |
| /Users/matiasfonseca/Desktop/EasyEcommerce/frontend/lib/ui/logistic/add_carrier/controllers/controllers.dart                         | Dart       |         38 |         15 |          4 |         57 |
| /Users/matiasfonseca/Desktop/EasyEcommerce/frontend/lib/ui/logistic/add_logistics_user/add_logistics_user.dart                       | Dart       |        243 |          0 |         12 |        255 |
| /Users/matiasfonseca/Desktop/EasyEcommerce/frontend/lib/ui/logistic/add_logistics_user/controllers/controllers.dart                  | Dart       |         53 |          0 |          6 |         59 |
| /Users/matiasfonseca/Desktop/EasyEcommerce/frontend/lib/ui/logistic/add_logistics_user/edit_logistic_user.dart                       | Dart       |        733 |          2 |         12 |        747 |
| /Users/matiasfonseca/Desktop/EasyEcommerce/frontend/lib/ui/logistic/add_sellers/add_sellers.dart                                     | Dart       |        425 |          0 |         12 |        437 |
| /Users/matiasfonseca/Desktop/EasyEcommerce/frontend/lib/ui/logistic/add_sellers/controllers/controllers.dart                         | Dart       |         79 |          0 |         10 |         89 |
| /Users/matiasfonseca/Desktop/EasyEcommerce/frontend/lib/ui/logistic/add_sellers/edit_sellers.dart                                    | Dart       |        270 |          2 |         13 |        285 |
| /Users/matiasfonseca/Desktop/EasyEcommerce/frontend/lib/ui/logistic/add_stock_to_vendors/add_stock_details.dart                      | Dart       |        136 |         43 |          8 |        187 |
| /Users/matiasfonseca/Desktop/EasyEcommerce/frontend/lib/ui/logistic/add_stock_to_vendors/add_stock_to_vendors.dart                   | Dart       |        182 |         25 |         11 |        218 |
| /Users/matiasfonseca/Desktop/EasyEcommerce/frontend/lib/ui/logistic/add_stock_to_vendors/controllers/controllers.dart                | Dart       |         21 |          0 |          4 |         25 |
| /Users/matiasfonseca/Desktop/EasyEcommerce/frontend/lib/ui/logistic/assign_routes/assign_routes.dart                                 | Dart       |        190 |          0 |          5 |        195 |
| /Users/matiasfonseca/Desktop/EasyEcommerce/frontend/lib/ui/logistic/assign_routes/controllers/controllers.dart                       | Dart       |          6 |          0 |          2 |          8 |
| /Users/matiasfonseca/Desktop/EasyEcommerce/frontend/lib/ui/logistic/dashboard/dashboard.dart                                         | Dart       |        681 |          3 |         32 |        716 |
| /Users/matiasfonseca/Desktop/EasyEcommerce/frontend/lib/ui/logistic/delivery_historial/controllers/controllers.dart                  | Dart       |          4 |          0 |          2 |          6 |
| /Users/matiasfonseca/Desktop/EasyEcommerce/frontend/lib/ui/logistic/delivery_historial/delivery_details.dart                         | Dart       |        193 |          1 |          9 |        203 |
| /Users/matiasfonseca/Desktop/EasyEcommerce/frontend/lib/ui/logistic/delivery_historial/delivery_historial.dart                       | Dart       |        138 |          4 |         13 |        155 |
| /Users/matiasfonseca/Desktop/EasyEcommerce/frontend/lib/ui/logistic/delivery_historial/history_by_date.dart                          | Dart       |        351 |          4 |         16 |        371 |
| /Users/matiasfonseca/Desktop/EasyEcommerce/frontend/lib/ui/logistic/delivery_status/controllers/controllers.dart                     | Dart       |          4 |          0 |          2 |          6 |
| /Users/matiasfonseca/Desktop/EasyEcommerce/frontend/lib/ui/logistic/delivery_status/delivery_status.dart                             | Dart       |        360 |          0 |         16 |        376 |
| /Users/matiasfonseca/Desktop/EasyEcommerce/frontend/lib/ui/logistic/delivery_status/delivery_status_info.dart                        | Dart       |        258 |          1 |         10 |        269 |
| /Users/matiasfonseca/Desktop/EasyEcommerce/frontend/lib/ui/logistic/guides_sent/controllers/controllers.dart                         | Dart       |          4 |          0 |          2 |          6 |
| /Users/matiasfonseca/Desktop/EasyEcommerce/frontend/lib/ui/logistic/guides_sent/guides_sent.dart                                     | Dart       |         75 |          0 |          9 |         84 |
| /Users/matiasfonseca/Desktop/EasyEcommerce/frontend/lib/ui/logistic/guides_sent/table_orders_guides_sent.dart                        | Dart       |        520 |          3 |         20 |        543 |
| /Users/matiasfonseca/Desktop/EasyEcommerce/frontend/lib/ui/logistic/income_and_expenses/controllers/controllers.dart                 | Dart       |         28 |          0 |          5 |         33 |
| /Users/matiasfonseca/Desktop/EasyEcommerce/frontend/lib/ui/logistic/income_and_expenses/income_and_expenses.dart                     | Dart       |        238 |          0 |         11 |        249 |
| /Users/matiasfonseca/Desktop/EasyEcommerce/frontend/lib/ui/logistic/income_and_expenses/income_expense_details.dart                  | Dart       |        279 |          1 |         10 |        290 |
| /Users/matiasfonseca/Desktop/EasyEcommerce/frontend/lib/ui/logistic/layout/layout.dart                                               | Dart       |        208 |          2 |          9 |        219 |
| /Users/matiasfonseca/Desktop/EasyEcommerce/frontend/lib/ui/logistic/logistic_balance/controllers/controllers.dart                    | Dart       |          6 |          0 |          2 |          8 |
| /Users/matiasfonseca/Desktop/EasyEcommerce/frontend/lib/ui/logistic/logistic_balance/logistic_balance.dart                           | Dart       |        416 |          0 |         19 |        435 |
| /Users/matiasfonseca/Desktop/EasyEcommerce/frontend/lib/ui/logistic/logistics_products/controllers/controllers.dart                  | Dart       |          4 |          0 |          2 |          6 |
| /Users/matiasfonseca/Desktop/EasyEcommerce/frontend/lib/ui/logistic/logistics_products/logistics_products.dart                       | Dart       |        129 |          0 |          5 |        134 |
| /Users/matiasfonseca/Desktop/EasyEcommerce/frontend/lib/ui/logistic/print_guides/controllers/controllers.dart                        | Dart       |          5 |          0 |          2 |          7 |
| /Users/matiasfonseca/Desktop/EasyEcommerce/frontend/lib/ui/logistic/print_guides/model_guide/model_guide.dart                        | Dart       |        490 |          0 |          9 |        499 |
| /Users/matiasfonseca/Desktop/EasyEcommerce/frontend/lib/ui/logistic/print_guides/print_guides.dart                                   | Dart       |        473 |          2 |         19 |        494 |
| /Users/matiasfonseca/Desktop/EasyEcommerce/frontend/lib/ui/logistic/printed_guides/controllers/controllers.dart                      | Dart       |          4 |          0 |          2 |          6 |
| /Users/matiasfonseca/Desktop/EasyEcommerce/frontend/lib/ui/logistic/printed_guides/printedguides.dart                                | Dart       |         96 |          0 |          4 |        100 |
| /Users/matiasfonseca/Desktop/EasyEcommerce/frontend/lib/ui/logistic/profit_date/profit_date.dart                                     | Dart       |         74 |          0 |          6 |         80 |
| /Users/matiasfonseca/Desktop/EasyEcommerce/frontend/lib/ui/logistic/proof_payment/controllers/controllers.dart                       | Dart       |          4 |          0 |          2 |          6 |
| /Users/matiasfonseca/Desktop/EasyEcommerce/frontend/lib/ui/logistic/proof_payment/payments_by_transport.dart                         | Dart       |        224 |          5 |         12 |        241 |
| /Users/matiasfonseca/Desktop/EasyEcommerce/frontend/lib/ui/logistic/proof_payment/proof_payment.dart                                 | Dart       |        418 |         12 |         31 |        461 |
| /Users/matiasfonseca/Desktop/EasyEcommerce/frontend/lib/ui/logistic/provider_invoices/provider_invoices.dart                         | Dart       |         23 |          0 |          5 |         28 |
| /Users/matiasfonseca/Desktop/EasyEcommerce/frontend/lib/ui/logistic/readme.md                                                        | Markdown   |          0 |          0 |          1 |          1 |
| /Users/matiasfonseca/Desktop/EasyEcommerce/frontend/lib/ui/logistic/remote_support/remote_support.dart                               | Dart       |        114 |          0 |          4 |        118 |
| /Users/matiasfonseca/Desktop/EasyEcommerce/frontend/lib/ui/logistic/returns/controllers/controllers.dart                             | Dart       |          4 |          0 |          2 |          6 |
| /Users/matiasfonseca/Desktop/EasyEcommerce/frontend/lib/ui/logistic/returns/return_details.dart                                      | Dart       |        178 |          1 |          9 |        188 |
| /Users/matiasfonseca/Desktop/EasyEcommerce/frontend/lib/ui/logistic/returns/returns.dart                                             | Dart       |        348 |          0 |         11 |        359 |
| /Users/matiasfonseca/Desktop/EasyEcommerce/frontend/lib/ui/logistic/sales_invoices/sales_invoices.dart                               | Dart       |         23 |          0 |          5 |         28 |
| /Users/matiasfonseca/Desktop/EasyEcommerce/frontend/lib/ui/logistic/shopping/controllers/controllers.dart                            | Dart       |          4 |          0 |          2 |          6 |
| /Users/matiasfonseca/Desktop/EasyEcommerce/frontend/lib/ui/logistic/shopping/shopping.dart                                           | Dart       |         85 |          0 |          5 |         90 |
| /Users/matiasfonseca/Desktop/EasyEcommerce/frontend/lib/ui/logistic/shopping_status/controllers/controllers.dart                     | Dart       |          4 |          0 |          2 |          6 |
| /Users/matiasfonseca/Desktop/EasyEcommerce/frontend/lib/ui/logistic/shopping_status/shopping_status.dart                             | Dart       |         85 |          0 |          5 |         90 |
| /Users/matiasfonseca/Desktop/EasyEcommerce/frontend/lib/ui/logistic/stock/controllers/controllers.dart                               | Dart       |          4 |          0 |          2 |          6 |
| /Users/matiasfonseca/Desktop/EasyEcommerce/frontend/lib/ui/logistic/stock/stock.dart                                                 | Dart       |         85 |          0 |          5 |         90 |
| /Users/matiasfonseca/Desktop/EasyEcommerce/frontend/lib/ui/logistic/stock_by_company/controllers/controllers.dart                    | Dart       |          4 |          0 |          2 |          6 |
| /Users/matiasfonseca/Desktop/EasyEcommerce/frontend/lib/ui/logistic/stock_by_company/stock_by_company.dart                           | Dart       |        124 |          0 |          5 |        129 |
| /Users/matiasfonseca/Desktop/EasyEcommerce/frontend/lib/ui/logistic/transport_delivery_historial/controllers/controllers.dart        | Dart       |          4 |          0 |          2 |          6 |
| /Users/matiasfonseca/Desktop/EasyEcommerce/frontend/lib/ui/logistic/transport_delivery_historial/transport_delivery_details.dart     | Dart       |        183 |          1 |          9 |        193 |
| /Users/matiasfonseca/Desktop/EasyEcommerce/frontend/lib/ui/logistic/transport_delivery_historial/transport_delivery_historial.dart   | Dart       |        138 |          4 |         13 |        155 |
| /Users/matiasfonseca/Desktop/EasyEcommerce/frontend/lib/ui/logistic/transport_delivery_historial/transport_history_by_transport.dart | Dart       |        378 |          4 |         15 |        397 |
| /Users/matiasfonseca/Desktop/EasyEcommerce/frontend/lib/ui/logistic/transport_invoices/controllers/controllers.dart                  | Dart       |          4 |          0 |          2 |          6 |
| /Users/matiasfonseca/Desktop/EasyEcommerce/frontend/lib/ui/logistic/transport_invoices/invoice_detail.dart                           | Dart       |        163 |          1 |          9 |        173 |
| /Users/matiasfonseca/Desktop/EasyEcommerce/frontend/lib/ui/logistic/transport_invoices/invoices_by_date.dart                         | Dart       |        165 |          4 |         14 |        183 |
| /Users/matiasfonseca/Desktop/EasyEcommerce/frontend/lib/ui/logistic/transport_invoices/invoices_by_transport.dart                    | Dart       |        237 |          4 |         12 |        253 |
| /Users/matiasfonseca/Desktop/EasyEcommerce/frontend/lib/ui/logistic/transport_invoices/transport_invoices.dart                       | Dart       |        144 |          4 |         13 |        161 |
| /Users/matiasfonseca/Desktop/EasyEcommerce/frontend/lib/ui/logistic/transport_invoices_cxc/cc_invoice_detail.dart                    | Dart       |        157 |          1 |          9 |        167 |
| /Users/matiasfonseca/Desktop/EasyEcommerce/frontend/lib/ui/logistic/transport_invoices_cxc/cc_invoices_by_date.dart                  | Dart       |        165 |          4 |         14 |        183 |
| /Users/matiasfonseca/Desktop/EasyEcommerce/frontend/lib/ui/logistic/transport_invoices_cxc/cc_invoices_by_transport.dart             | Dart       |        341 |          4 |         12 |        357 |
| /Users/matiasfonseca/Desktop/EasyEcommerce/frontend/lib/ui/logistic/transport_invoices_cxc/cc_transport_invoices.dart                | Dart       |        144 |          4 |         13 |        161 |
| /Users/matiasfonseca/Desktop/EasyEcommerce/frontend/lib/ui/logistic/transport_invoices_cxc/controllers/controllers.dart              | Dart       |          4 |          0 |          2 |          6 |
| /Users/matiasfonseca/Desktop/EasyEcommerce/frontend/lib/ui/logistic/update_password/controllers/controllers.dart                     | Dart       |         13 |          0 |          2 |         15 |
| /Users/matiasfonseca/Desktop/EasyEcommerce/frontend/lib/ui/logistic/update_password/update_password.dart                             | Dart       |        163 |          2 |          7 |        172 |
| /Users/matiasfonseca/Desktop/EasyEcommerce/frontend/lib/ui/logistic/vendor_invoices/controllers/controllers.dart                     | Dart       |          4 |          0 |          2 |          6 |
| /Users/matiasfonseca/Desktop/EasyEcommerce/frontend/lib/ui/logistic/vendor_invoices/invoice_details.dart                             | Dart       |        178 |          1 |          9 |        188 |
| /Users/matiasfonseca/Desktop/EasyEcommerce/frontend/lib/ui/logistic/vendor_invoices/invoices_by_date.dart                            | Dart       |        363 |          4 |         11 |        378 |
| /Users/matiasfonseca/Desktop/EasyEcommerce/frontend/lib/ui/logistic/vendor_invoices/invoices_by_vendor.dart                          | Dart       |        147 |          0 |         12 |        159 |
| /Users/matiasfonseca/Desktop/EasyEcommerce/frontend/lib/ui/logistic/vendor_invoices/vendor_invoices.dart                             | Dart       |        151 |         36 |         17 |        204 |
| /Users/matiasfonseca/Desktop/EasyEcommerce/frontend/lib/ui/logistic/vendor_withdrawal_request/controllers/controllers.dart           | Dart       |          4 |          0 |          2 |          6 |
| /Users/matiasfonseca/Desktop/EasyEcommerce/frontend/lib/ui/logistic/vendor_withdrawal_request/vendor_withdrawal_request.dart         | Dart       |        321 |          0 |         11 |        332 |
| /Users/matiasfonseca/Desktop/EasyEcommerce/frontend/lib/ui/logistic/vendor_withdrawal_request/withdrawal_details.dart                | Dart       |        233 |          1 |         12 |        246 |
| /Users/matiasfonseca/Desktop/EasyEcommerce/frontend/lib/ui/logistic/withdrawal_assignment/withdrawal_assignment.dart                 | Dart       |         23 |          0 |          4 |         27 |
| /Users/matiasfonseca/Desktop/EasyEcommerce/frontend/lib/ui/operator/layout/layout.dart                                               | Dart       |         90 |          0 |          8 |         98 |
| /Users/matiasfonseca/Desktop/EasyEcommerce/frontend/lib/ui/operator/my_operator_account/my_operator_account.dart                     | Dart       |         62 |          0 |          4 |         66 |
| /Users/matiasfonseca/Desktop/EasyEcommerce/frontend/lib/ui/operator/orders_operator/controllers/controllers.dart                     | Dart       |         64 |          0 |          5 |         69 |
| /Users/matiasfonseca/Desktop/EasyEcommerce/frontend/lib/ui/operator/orders_operator/info_orders_operator.dart                        | Dart       |        248 |          1 |         10 |        259 |
| /Users/matiasfonseca/Desktop/EasyEcommerce/frontend/lib/ui/operator/orders_operator/orders_operator.dart                             | Dart       |        303 |          0 |         14 |        317 |
| /Users/matiasfonseca/Desktop/EasyEcommerce/frontend/lib/ui/operator/received_values.dart/info_received_orders.dart                   | Dart       |        244 |          1 |         10 |        255 |
| /Users/matiasfonseca/Desktop/EasyEcommerce/frontend/lib/ui/operator/received_values.dart/received_values.dart                        | Dart       |        359 |          1 |         18 |        378 |
| /Users/matiasfonseca/Desktop/EasyEcommerce/frontend/lib/ui/operator/returns/returns.dart                                             | Dart       |        419 |          0 |         11 |        430 |
| /Users/matiasfonseca/Desktop/EasyEcommerce/frontend/lib/ui/operator/state_orders/info_state_orders.dart                              | Dart       |        284 |          1 |         10 |        295 |
| /Users/matiasfonseca/Desktop/EasyEcommerce/frontend/lib/ui/operator/state_orders/state_orders.dart                                   | Dart       |        350 |          0 |         16 |        366 |
| /Users/matiasfonseca/Desktop/EasyEcommerce/frontend/lib/ui/operator/update_password_operator/controllers/controllers.dart            | Dart       |         13 |          0 |          2 |         15 |
| /Users/matiasfonseca/Desktop/EasyEcommerce/frontend/lib/ui/operator/update_password_operator/update_password_operator.dart           | Dart       |        162 |          2 |          7 |        171 |
| /Users/matiasfonseca/Desktop/EasyEcommerce/frontend/lib/ui/sellers/add_seller_user/add_seller_user.dart                              | Dart       |        174 |          0 |          9 |        183 |
| /Users/matiasfonseca/Desktop/EasyEcommerce/frontend/lib/ui/sellers/add_seller_user/controllers/controllers.dart                      | Dart       |          4 |          0 |          2 |          6 |
| /Users/matiasfonseca/Desktop/EasyEcommerce/frontend/lib/ui/sellers/add_seller_user/seller_details.dart                               | Dart       |        417 |          0 |          8 |        425 |
| /Users/matiasfonseca/Desktop/EasyEcommerce/frontend/lib/ui/sellers/cash_withdrawals_sellers/cash_withdrawals_sellers.dart            | Dart       |        157 |          0 |         12 |        169 |
| /Users/matiasfonseca/Desktop/EasyEcommerce/frontend/lib/ui/sellers/cash_withdrawals_sellers/controllers/controllers.dart             | Dart       |          4 |          0 |          2 |          6 |
| /Users/matiasfonseca/Desktop/EasyEcommerce/frontend/lib/ui/sellers/cash_withdrawals_sellers/controllers/search_controller.dart       | Dart       |          4 |          0 |          2 |          6 |
| /Users/matiasfonseca/Desktop/EasyEcommerce/frontend/lib/ui/sellers/cash_withdrawals_sellers/withdrawal_details.dart                  | Dart       |        129 |          0 |          8 |        137 |
| /Users/matiasfonseca/Desktop/EasyEcommerce/frontend/lib/ui/sellers/cash_withdrawals_sellers/withdrawal_info.dart                     | Dart       |        201 |          1 |         10 |        212 |
| /Users/matiasfonseca/Desktop/EasyEcommerce/frontend/lib/ui/sellers/dashboard/dashboard.dart                                          | Dart       |        609 |          2 |         29 |        640 |
| /Users/matiasfonseca/Desktop/EasyEcommerce/frontend/lib/ui/sellers/delivery_status/delivery_status.dart                              | Dart       |        340 |          0 |         16 |        356 |
| /Users/matiasfonseca/Desktop/EasyEcommerce/frontend/lib/ui/sellers/delivery_status/info_delivery.dart                                | Dart       |        258 |          1 |         10 |        269 |
| /Users/matiasfonseca/Desktop/EasyEcommerce/frontend/lib/ui/sellers/layout/layout.dart                                                | Dart       |        150 |          0 |          9 |        159 |
| /Users/matiasfonseca/Desktop/EasyEcommerce/frontend/lib/ui/sellers/my_cart_sellers/controllers/controllers.dart                      | Dart       |          6 |          0 |          2 |          8 |
| /Users/matiasfonseca/Desktop/EasyEcommerce/frontend/lib/ui/sellers/my_cart_sellers/my_cart_sellers.dart                              | Dart       |        118 |          0 |          5 |        123 |
| /Users/matiasfonseca/Desktop/EasyEcommerce/frontend/lib/ui/sellers/my_seller_account/controllers/controllers.dart                    | Dart       |         24 |          0 |          3 |         27 |
| /Users/matiasfonseca/Desktop/EasyEcommerce/frontend/lib/ui/sellers/my_seller_account/my_seller_account.dart                          | Dart       |        209 |          0 |          7 |        216 |
| /Users/matiasfonseca/Desktop/EasyEcommerce/frontend/lib/ui/sellers/my_stock/controllers/controllers.dart                             | Dart       |          6 |          0 |          2 |          8 |
| /Users/matiasfonseca/Desktop/EasyEcommerce/frontend/lib/ui/sellers/my_stock/my_stock.dart                                            | Dart       |        103 |          0 |          5 |        108 |
| /Users/matiasfonseca/Desktop/EasyEcommerce/frontend/lib/ui/sellers/order_entry/controllers/controllers.dart                          | Dart       |         64 |          0 |          5 |         69 |
| /Users/matiasfonseca/Desktop/EasyEcommerce/frontend/lib/ui/sellers/order_entry/order_entry.dart                                      | Dart       |        447 |          0 |         15 |        462 |
| /Users/matiasfonseca/Desktop/EasyEcommerce/frontend/lib/ui/sellers/order_entry/order_info.dart                                       | Dart       |        289 |          1 |         11 |        301 |
| /Users/matiasfonseca/Desktop/EasyEcommerce/frontend/lib/ui/sellers/order_history_sellers/controllers/controllers.dart                | Dart       |          4 |          0 |          2 |          6 |
| /Users/matiasfonseca/Desktop/EasyEcommerce/frontend/lib/ui/sellers/order_history_sellers/order_details.dart                          | Dart       |        173 |          1 |          9 |        183 |
| /Users/matiasfonseca/Desktop/EasyEcommerce/frontend/lib/ui/sellers/order_history_sellers/order_history_sellers.dart                  | Dart       |        283 |          4 |         12 |        299 |
| /Users/matiasfonseca/Desktop/EasyEcommerce/frontend/lib/ui/sellers/providers_sellers/controllers/controllers.dart                    | Dart       |          4 |          0 |          2 |          6 |
| /Users/matiasfonseca/Desktop/EasyEcommerce/frontend/lib/ui/sellers/providers_sellers/providers_sellers.dart                          | Dart       |        107 |          0 |          5 |        112 |
| /Users/matiasfonseca/Desktop/EasyEcommerce/frontend/lib/ui/sellers/returns_seller/controllers/controllers.dart                       | Dart       |          6 |          0 |          2 |          8 |
| /Users/matiasfonseca/Desktop/EasyEcommerce/frontend/lib/ui/sellers/returns_seller/return_details.dart                                | Dart       |        219 |          1 |          9 |        229 |
| /Users/matiasfonseca/Desktop/EasyEcommerce/frontend/lib/ui/sellers/returns_seller/returns_seller.dart                                | Dart       |        300 |          0 |         11 |        311 |
| /Users/matiasfonseca/Desktop/EasyEcommerce/frontend/lib/ui/sellers/sales_report/controllers/controllers.dart                         | Dart       |         20 |          0 |          4 |         24 |
| /Users/matiasfonseca/Desktop/EasyEcommerce/frontend/lib/ui/sellers/sales_report/new_record.dart                                      | Dart       |        544 |          2 |         19 |        565 |
| /Users/matiasfonseca/Desktop/EasyEcommerce/frontend/lib/ui/sellers/sales_report/sales_report.dart                                    | Dart       |        172 |          0 |         13 |        185 |
| /Users/matiasfonseca/Desktop/EasyEcommerce/frontend/lib/ui/sellers/unwanted_orders_sellers/controllers/controllers.dart              | Dart       |         25 |          0 |          2 |         27 |
| /Users/matiasfonseca/Desktop/EasyEcommerce/frontend/lib/ui/sellers/unwanted_orders_sellers/unwanted_orders_sellers.dart              | Dart       |        392 |          0 |         15 |        407 |
| /Users/matiasfonseca/Desktop/EasyEcommerce/frontend/lib/ui/sellers/update_password/controllers/controllers.dart                      | Dart       |         13 |          0 |          2 |         15 |
| /Users/matiasfonseca/Desktop/EasyEcommerce/frontend/lib/ui/sellers/update_password/update_password.dart                              | Dart       |        164 |          2 |          7 |        173 |
| /Users/matiasfonseca/Desktop/EasyEcommerce/frontend/lib/ui/sellers/wallet_sellers/wallet_sellers.dart                                | Dart       |        137 |          0 |         10 |        147 |
| /Users/matiasfonseca/Desktop/EasyEcommerce/frontend/lib/ui/transport/add_operators_transport/add_operators_transport.dart            | Dart       |        428 |          2 |         16 |        446 |
| /Users/matiasfonseca/Desktop/EasyEcommerce/frontend/lib/ui/transport/add_operators_transport/controllers/controllers.dart            | Dart       |         53 |          0 |          9 |         62 |
| /Users/matiasfonseca/Desktop/EasyEcommerce/frontend/lib/ui/transport/add_operators_transport/edit_operator_transport.dart            | Dart       |        286 |          1 |         13 |        300 |
| /Users/matiasfonseca/Desktop/EasyEcommerce/frontend/lib/ui/transport/create_sub_routes_transport/controllers/controllers.dart        | Dart       |          4 |          0 |          2 |          6 |
| /Users/matiasfonseca/Desktop/EasyEcommerce/frontend/lib/ui/transport/create_sub_routes_transport/create_sub_routes_transport.dart    | Dart       |        110 |          0 |          5 |        115 |
| /Users/matiasfonseca/Desktop/EasyEcommerce/frontend/lib/ui/transport/delivery_status_transport/controllers/controllers.dart          | Dart       |          6 |          0 |          2 |          8 |
| /Users/matiasfonseca/Desktop/EasyEcommerce/frontend/lib/ui/transport/delivery_status_transport/delivery_details.dart                 | Dart       |        265 |          1 |         10 |        276 |
| /Users/matiasfonseca/Desktop/EasyEcommerce/frontend/lib/ui/transport/delivery_status_transport/delivery_status_transport.dart        | Dart       |        355 |          0 |         16 |        371 |
| /Users/matiasfonseca/Desktop/EasyEcommerce/frontend/lib/ui/transport/layout/layout.dart                                              | Dart       |         96 |          0 |          8 |        104 |
| /Users/matiasfonseca/Desktop/EasyEcommerce/frontend/lib/ui/transport/my_orders_prv/controllers/controllers.dart                      | Dart       |          4 |          0 |          2 |          6 |
| /Users/matiasfonseca/Desktop/EasyEcommerce/frontend/lib/ui/transport/my_orders_prv/my_orders_prv.dart                                | Dart       |        360 |          0 |         14 |        374 |
| /Users/matiasfonseca/Desktop/EasyEcommerce/frontend/lib/ui/transport/my_orders_prv/prv_info.dart                                     | Dart       |        280 |          1 |         11 |        292 |
| /Users/matiasfonseca/Desktop/EasyEcommerce/frontend/lib/ui/transport/my_transporter_account/controllers/controllers.dart             | Dart       |          0 |          0 |          1 |          1 |
